feature,flow_id,flow_name,user_role,journey_type,priority,prd_file,prd_refs,current_e2e_status,current_test_ids,current_spec_files,smoke,notes,last_reviewed
Auth,AUTH-FLOW-01,Guest registration happy path,Guest,happy_path,P0,docs/prd/auth.md,"Happy path 1; AC 1-6",Covered,AUTH-01,frontend/e2e/auth.spec.ts,yes,Core account creation journey,2026-04-03
Auth,AUTH-FLOW-02,Registration duplicate and validation safety rails,Guest,edge_case,P1,docs/prd/auth.md,"Edge cases 1-2; AC 3-5",Covered,AUTH-02|AUTH-03,frontend/e2e/auth.spec.ts,no,Covers duplicate email plus malformed email and password length checks,2026-04-03
Auth,AUTH-FLOW-03,User and admin login success routing,Guest|User|Admin,happy_path,P0,docs/prd/auth.md,"Happy path 2 and 5; AC 7-13 and 21",Covered,AUTH-04|AUTH-05,frontend/e2e/auth.spec.ts,yes,Covers both main role entry points,2026-04-03
Auth,AUTH-FLOW-04,Invalid login uses one generic error,Guest,edge_case,P0,docs/prd/auth.md,"Edge case 3; AC 12-13",Covered,AUTH-06|AUTH-07,frontend/e2e/auth.spec.ts,no,Prevents user enumeration regressions,2026-04-03
Auth,AUTH-FLOW-05,Logout clears session for user and admin,User|Admin,happy_path,P0,docs/prd/auth.md,"Happy path 4-5; AC 18-20 and 25",Covered,AUTH-08|AUTH-09,frontend/e2e/auth.spec.ts,yes,Verifies post-logout route blocking too,2026-04-03
Auth,AUTH-FLOW-06,Route guards enforce guest and non-admin access rules,Guest|User,access_control,P0,docs/prd/auth.md,"Overview and role rules; downstream access assumptions",Covered,AUTH-10|AUTH-11|AUTH-12,frontend/e2e/auth.spec.ts,yes,Acts as auth smoke for protected frontend routes,2026-04-03
Auth,AUTH-FLOW-07,Silent refresh handles token expiry and invalid refresh tokens,User,session_resilience,P0,docs/prd/auth.md,"Happy path 3; Edge case 4; AC 14-17",Covered,AUTH-13|AUTH-14,frontend/e2e/auth.spec.ts,no,Covers both background refresh success and forced re-login,2026-04-03
Landing Page,LAND-FLOW-01,Guest landing page explains offer and routes to register or login,Guest,happy_path,P0,docs/prd/landing-page.md,"Happy path 1-3; AC 1-3 and 19-20",Covered,LAND-01|LAND-02,frontend/e2e/landing-page.spec.ts,yes,Primary public entry flow,2026-04-03
Landing Page,LAND-FLOW-02,Signed-in user without membership is routed toward plans,User,happy_path,P0,docs/prd/landing-page.md,"Happy path 4; AC 4",Covered,LAND-03,frontend/e2e/landing-page.spec.ts,yes,Auth-aware CTA routing for non-members,2026-04-03
Landing Page,LAND-FLOW-03,Active member is routed back into member area,Member,happy_path,P0,docs/prd/landing-page.md,"Happy path 5; AC 5",Covered,LAND-04,frontend/e2e/landing-page.spec.ts,yes,Auth-aware CTA routing for active members,2026-04-03
Landing Page,LAND-FLOW-04,Landing page stays useful when no active plans exist,Guest,edge_case,P1,docs/prd/landing-page.md,"Edge case 1; AC 14",Covered,LAND-05,frontend/e2e/landing-page.spec.ts,no,Checks empty state plus absence of console errors,2026-04-03
Membership Plans,PLAN-FLOW-01,Public user browses plans and opens plan detail,Guest|User,happy_path,P0,docs/prd/membership-plans.md,"Happy path 1-2; AC 1-3",Covered,PLAN-01|PLAN-02|PLAN-03,frontend/e2e/membership-plans.spec.ts,yes,Core discovery journey before purchase,2026-04-03
Membership Plans,PLAN-FLOW-02,Public detail handles not found and inactive plans safely,Guest|User,edge_case,P0,docs/prd/membership-plans.md,"Edge case 1-2; AC 4-5",Covered,PLAN-04|PLAN-05,frontend/e2e/membership-plans.spec.ts,no,Protects direct URL access to inactive plans,2026-04-03
Membership Plans,PLAN-FLOW-03,Public catalog handles empty state and pagination,Guest|User,edge_case,P1,docs/prd/membership-plans.md,"AC 1 and 21",Covered,PLAN-06|PLAN-07,frontend/e2e/membership-plans.spec.ts,no,Useful once catalog grows beyond one page,2026-04-03
Membership Plans,PLAN-FLOW-04,Admin can enter plans management and view full catalog,Admin,access_control,P0,docs/prd/membership-plans.md,"Happy path 7; AC 7 and 18",Covered,PLAN-08|PLAN-09,frontend/e2e/membership-plans.spec.ts,yes,Admin entry flow and guest block,2026-04-03
Membership Plans,PLAN-FLOW-05,Admin creates and edits plans with validation,Admin,happy_path,P0,docs/prd/membership-plans.md,"Happy path 3-4; Edge case 3-5; AC 6 and 8-13 and 18b",Covered,PLAN-10|PLAN-11|PLAN-12,frontend/e2e/membership-plans.spec.ts,yes,Covers both successful edits and invalid field handling,2026-04-03
